gene,ensembl,source,annotation_breast,annotation_io,programs,cell_lineages,program_states,marker_states,top_major,top3_majors,n_programs,pct_expressing,mean_lognorm,mean_counts,top_compartment,mean_Cancer,mean_Epithelial,mean_Immune,mean_Stroma
KDR,ENSG00000128052,Breast,Adipocytes,,Endothelial:pan_endothelial,Endothelial,pan_endothelial,,Endothelial,"Endothelial(1.638), Pericyte(1.216), Myoepithelial(0.219)",1,6.8,0.292,0.129,Stroma,0.185,0.219,0.111,0.685
KIT,ENSG00000157404,Breast+IO,Breast cancer,Proto-Oncogene,Tumor:luminal_progenitor; Mast:mast_core,Mast; Tumor,luminal_progenitor; mast_core,mast_core,Mast,"Mast(3.097), Tumor(0.858), Myoepithelial(0.653)",2,8.7,0.359,0.223,Cancer,0.858,0.653,0.256,0.171
KLF5,ENSG00000102554,Breast,Breast myoepithelial cells,,,,,,Tumor,"Tumor(1.103), Myoepithelial(1.061), Adipocyte(0.194)",0,9.4,0.333,0.157,Cancer,1.103,1.061,0.114,0.129
KLRB1,ENSG00000111796,Breast+IO,T cells,T Cell;CD8+;Naive;Natural Killer Cell,T/NK:th17,T/NK,th17,th17,T_NK,"T_NK(1.53), B_cell(0.571), Dendritic(0.54)",1,11.8,0.55,0.212,Immune,0.146,0.154,0.924,0.232
KLRC1,ENSG00000134545,Breast+IO,T cells,,T/NK:nk_like,T/NK,nk_like,nk_like,T_NK,"T_NK(0.387), Tumor(0.127), Myoepithelial(0.122)",1,3.7,0.152,0.052,Immune,0.127,0.122,0.217,0.063
KLRD1,ENSG00000134539,Breast+IO,NK cells,Natural Killer Cell,T/NK:nk_like,T/NK,nk_like,nk_like,T_NK,"T_NK(0.426), Dendritic(0.117), Myoepithelial(0.106)",1,3.7,0.157,0.055,Immune,0.093,0.106,0.235,0.077
KLRF1,ENSG00000150045,Breast+IO,NK cells,,T/NK:nk_like,T/NK,nk_like,nk_like,T_NK,"T_NK(0.278), Myoepithelial(0.199), Tumor(0.191)",1,4.2,0.168,0.061,Immune,0.191,0.199,0.206,0.09
KRT14,ENSG00000186847,Breast,Epithelial cells,,Tumor:basal_triple_neg,Tumor,basal_triple_neg,basal_triple_neg,Myoepithelial,"Myoepithelial(3.252), Tumor(2.394), Macrophage_Mono(0.355)",1,15.3,0.706,0.86,Epithelial,2.394,3.252,0.182,0.28
KRT23,ENSG00000108244,Breast,Breast glandular cells,,Tumor:luminal_progenitor,Tumor,luminal_progenitor,,Tumor,"Tumor(1.388), Myoepithelial(1.045), Macrophage_Mono(0.194)",1,9.6,0.386,0.415,Cancer,1.388,1.045,0.108,0.117
KRT5,ENSG00000186081,Breast,Breast myoepithelial cells,,Tumor:basal_triple_neg,Tumor,basal_triple_neg,basal_triple_neg,Myoepithelial,"Myoepithelial(2.614), Tumor(1.941), Macrophage_Mono(0.298)",1,13.1,0.58,0.544,Epithelial,1.941,2.614,0.172,0.215
KRT6B,ENSG00000185479,Breast,Breast myoepithelial cells,,Tumor:basal_triple_neg,Tumor,basal_triple_neg,basal_triple_neg,Myoepithelial,"Myoepithelial(1.754), Tumor(1.552), Macrophage_Mono(0.211)",1,10.5,0.443,0.411,Epithelial,1.552,1.754,0.122,0.143
KRT7,ENSG00000135480,Breast,Breast cancer,,Tumor:pan_epithelial,Tumor,pan_epithelial,,Myoepithelial,"Myoepithelial(4.93), Tumor(4.904), Macrophage_Mono(0.647)",1,26.9,1.375,3.093,Epithelial,4.904,4.93,0.358,0.436
KRT8,ENSG00000170421,Breast,Epithelial cells,,Tumor:pan_epithelial,Tumor,pan_epithelial,,Myoepithelial,"Myoepithelial(4.01), Tumor(3.947), Endothelial(0.905)",1,31.0,1.407,1.655,Epithelial,3.947,4.01,0.673,0.742
LAG3,ENSG00000089692,Breast+IO,T cells,T Cell;Exhaustion;Immune Checkpoint,T/NK:exhausted,T/NK,exhausted,exhausted,T_NK,"T_NK(0.331), Macrophage_Mono(0.142), Plasma(0.132)",1,3.7,0.145,0.044,Immune,0.109,0.126,0.205,0.074
LAMP2,ENSG00000005893,IO,,Autophagy,,,,,Myoepithelial,"Myoepithelial(3.998), Tumor(3.794), Macrophage_Mono(2.584)",0,46.6,2.111,1.644,Epithelial,3.794,3.998,1.609,1.718
LAMP3,ENSG00000078081,IO,,,Myeloid/DC:mregDC,Myeloid/DC,mregDC,mregDC,T_NK,"T_NK(0.912), Dendritic(0.787), Plasma(0.394)",1,9.7,0.426,0.199,Immune,0.318,0.37,0.616,0.189
LARS,ENSG00000133706,Breast,Smooth muscle cells,,,,,,Myoepithelial,"Myoepithelial(2.51), Tumor(2.275), Endothelial(1.325)",0,30.3,1.235,0.606,Epithelial,2.275,2.51,0.941,0.958
LDHB,ENSG00000111716,Breast,Breast cancer,,,,,,Myoepithelial,"Myoepithelial(2.545), Tumor(2.226), T_NK(2.201)",0,39.8,1.747,0.932,Epithelial,2.226,2.545,1.837,1.253
LGALSL,ENSG00000119862,Breast,B cells,,,,,,Myoepithelial,"Myoepithelial(0.943), Tumor(0.83), Endothelial(0.499)",0,9.1,0.322,0.135,Epithelial,0.83,0.943,0.116,0.287
LILRA4,ENSG00000239961,Breast+IO,Dendritic cells,Dendritic Cell;Plasmacytoid,Myeloid/DC:pDC,Myeloid/DC,pDC,pDC,Dendritic,"Dendritic(0.924), Macrophage_Mono(0.272), B_cell(0.195)",1,3.4,0.151,0.062,Immune,0.052,0.055,0.258,0.049
